time,id_s,iq_s,vd_s,vq_s,W,T
0.03,-1.078714718,0.728271332,116.0632069,-357.2058212,93.81453749,-0.207238838
0.0301,-1.066091224,0.687760549,129.4438935,-352.5775732,93.80788549,-0.204465972
0.0302,-1.051964479,0.647758102,142.6406332,-347.4482932,93.80132714,-0.201437042
0.0303,-1.03635485,0.60832024,155.6346727,-341.8252701,93.79487067,-0.198154881
0.0304,-1.019284807,0.569502402,168.4075469,-335.7164947,93.7885242,-0.194622703
0.0305,-1.000778894,0.531359131,180.9411048,-329.1306477,93.78229577,-0.190844091
0.0306,-0.980863688,0.493944006,193.2175354,-322.0770881,93.77619325,-0.186822999
0.0307,-0.959567766,0.457309557,205.2193933,-314.5658393,93.77022442,-0.182563748
0.0308,-0.936921662,0.421507199,216.9296233,-306.6075753,93.7643969,-0.178071019
0.0309,-0.912957823,0.386587151,228.3315844,-298.2136051,93.75871814,-0.173349851
0.031,-0.887710564,0.35259837,239.4090738,-289.395857,93.75319545,-0.168405631
0.0311,-0.861216016,0.319588482,250.1463498,-280.1668616,93.74783593,-0.163244093
0.0312,-0.833512079,0.287603711,260.5281542,-270.5397338,93.74264651,-0.157871309
0.0313,-0.804638362,0.256688816,270.5397338,-260.5281542,93.73763392,-0.15229368
0.0314,-0.774636131,0.226887026,280.1668616,-250.1463498,93.73280465,-0.146517932
0.0315,-0.743548248,0.198239981,289.395857,-239.4090738,93.728165,-0.140551107
0.0316,-0.711419111,0.170787672,298.2136051,-228.3315844,93.72372102,-0.134400551
0.0317,-0.678294589,0.144568383,306.6075753,-216.9296233,93.71947854,-0.128073909
0.0318,-0.644221957,0.119618639,314.5658393,-205.2193933,93.7154431,-0.121579115
0.0319,-0.609249831,0.095973154,322.0770881,-193.2175354,93.71162001,-0.11492438
0.032,-0.573428093,0.07366478,329.1306477,-180.9411048,93.7080143,-0.108118183
0.0321,-0.536807827,0.052724464,335.7164947,-168.4075469,93.70463072,-0.101169259
